Properties,id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
id,1,-0.02,0,0.01,-0.01,-0.13,0.02,0,0.01,-0.02,0.01,-0.01,-0.01,0.02,-0.02,-0.01,0,0.02,0,-0.14
price,-0.02,1,0.31,0.53,0.7,0.09,0.26,0.27,0.4,0.04,0.67,0.61,0.32,0.05,0.13,-0.05,0.31,0.02,0.59,0.08
bedrooms,0,0.31,1,0.52,0.58,0.03,0.18,-0.01,0.08,0.03,0.36,0.48,0.3,0.15,0.02,-0.15,-0.01,0.13,0.39,0.03
bathrooms,0.01,0.53,0.52,1,0.75,0.09,0.5,0.06,0.19,-0.12,0.66,0.69,0.28,0.51,0.05,-0.2,0.02,0.22,0.57,0.09
sqft_living,-0.01,0.7,0.58,0.75,1,0.17,0.35,0.1,0.28,-0.06,0.76,0.88,0.44,0.32,0.06,-0.2,0.05,0.24,0.76,0.18
sqft_lot,-0.13,0.09,0.03,0.09,0.17,1,-0.01,0.02,0.07,-0.01,0.11,0.18,0.02,0.05,0.01,-0.13,-0.09,0.23,0.14,0.72
floors,0.02,0.26,0.18,0.5,0.35,-0.01,1,0.02,0.03,-0.26,0.46,0.52,-0.25,0.49,0.01,-0.06,0.05,0.13,0.28,-0.01
waterfront,0,0.27,-0.01,0.06,0.1,0.02,0.02,1,0.4,0.02,0.08,0.07,0.08,-0.03,0.09,0.03,-0.01,-0.04,0.09,0.03
view,0.01,0.4,0.08,0.19,0.28,0.07,0.03,0.4,1,0.05,0.25,0.17,0.28,-0.05,0.1,0.08,0.01,-0.08,0.28,0.07
condition,-0.02,0.04,0.03,-0.12,-0.06,-0.01,-0.26,0.02,0.05,1,-0.14,-0.16,0.17,-0.36,-0.06,0,-0.01,-0.11,-0.09,0
grade,0.01,0.67,0.36,0.66,0.76,0.11,0.46,0.08,0.25,-0.14,1,0.76,0.17,0.45,0.01,-0.18,0.11,0.2,0.71,0.12
sqft_above,-0.01,0.61,0.48,0.69,0.88,0.18,0.52,0.07,0.17,-0.16,0.76,1,-0.05,0.42,0.02,-0.26,0,0.34,0.73,0.19
sqft_basement,-0.01,0.32,0.3,0.28,0.44,0.02,-0.25,0.08,0.28,0.17,0.17,-0.05,1,-0.13,0.07,0.07,0.11,-0.14,0.2,0.02
yr_built,0.02,0.05,0.15,0.51,0.32,0.05,0.49,-0.03,-0.05,-0.36,0.45,0.42,-0.13,1,-0.22,-0.35,-0.15,0.41,0.33,0.07
yr_renovated,-0.02,0.13,0.02,0.05,0.06,0.01,0.01,0.09,0.1,-0.06,0.01,0.02,0.07,-0.22,1,0.06,0.03,-0.07,0,0.01
zipcode,-0.01,-0.05,-0.15,-0.2,-0.2,-0.13,-0.06,0.03,0.08,0,-0.18,-0.26,0.07,-0.35,0.06,1,0.27,-0.56,-0.28,-0.15
lat,0,0.31,-0.01,0.02,0.05,-0.09,0.05,-0.01,0.01,-0.01,0.11,0,0.11,-0.15,0.03,0.27,1,-0.14,0.05,-0.09
long,0.02,0.02,0.13,0.22,0.24,0.23,0.13,-0.04,-0.08,-0.11,0.2,0.34,-0.14,0.41,-0.07,-0.56,-0.14,1,0.33,0.25
sqft_living15,0,0.59,0.39,0.57,0.76,0.14,0.28,0.09,0.28,-0.09,0.71,0.73,0.2,0.33,0,-0.28,0.05,0.33,1,0.18
sqft_lot15,-0.14,0.08,0.03,0.09,0.18,0.72,-0.01,0.03,0.07,0,0.12,0.19,0.02,0.07,0.01,-0.15,-0.09,0.25,0.18,1
